Country,MID,Weights,Rebills Attempts,Rebills SR%,Rebills Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
AU,2,1,30,0.4666666666666667,0.13333333333333333,4,0,0,0,0,0,0,0,0
AU,3,40,15,0.4666666666666667,0.0,0,0,0,0,0,0,0,0,0
AU,4,1,107,0.308411214953271,0.3925233644859813,42,0,0,0,0,0,0,0,0
AU,5,1,66,0.22727272727272727,0.3939393939393939,26,0,0,0,0,0,0,0,0
AU,6,20,90,0.18888888888888888,0.45555555555555555,41,0,0,0,0,0,0,0,0
AU,22,38,48,0.20833333333333334,0.25,4,8,0,0,0,0,4,0,0
AU,23,38,16,0.125,0.4375,5,2,0,0,0,0,0,0,0
AU,24,40,62,0.24193548387096775,0.41935483870967744,7,10,9,0,0,0,0,0,0
AU,25,20,55,0.2,0.2,1,9,1,0,0,1,0,0,0
AU,26,20,46,0.10869565217391304,0.5,12,11,0,0,0,0,0,0,0
AU,52,2,464,0.22413793103448276,0.35129310344827586,150,0,13,0,0,0,0,0,0
AU,53,1,387,0.20930232558139536,0.32041343669250644,118,0,6,0,0,0,0,1,0
AU,54,1,382,0.24607329842931938,0.36649214659685864,115,0,25,0,0,0,0,0,0
AU,55,1,294,0.24149659863945577,0.36054421768707484,101,0,5,0,0,0,0,0,0
AU,56,2,286,0.17832167832167833,0.3706293706293706,101,0,5,0,0,0,0,3,0
AU,62,1,334,0.25748502994011974,0.4041916167664671,112,0,23,0,0,0,0,0,0
AU,63,10,299,0.23076923076923078,0.34448160535117056,94,0,9,0,0,0,0,6,0
AU,64,30,222,0.3963963963963964,0.23873873873873874,47,0,6,0,0,0,0,0,0
AU,65,2,338,0.23964497041420119,0.27218934911242604,78,0,14,0,0,0,0,0,0
AU,66,1,189,0.2804232804232804,0.31746031746031744,54,0,6,0,0,0,0,1,0
AU,83,0,151,0.2251655629139073,0.11920529801324503,0,18,0,0,0,0,0,0,0
AU,84,0,22,0.18181818181818182,0.36363636363636365,0,8,0,0,0,0,0,0,0
AU,85,0,77,0.24675324675324675,0.3116883116883117,0,24,0,0,0,0,0,0,0
AU,86,1,31,0.4838709677419355,0.2903225806451613,0,9,0,0,0,0,0,0,0
AU,87,1,52,0.25,0.0,0,0,0,0,0,0,0,0,0
AU,88,2,445,0.1258426966292135,0.49213483146067416,191,0,28,0,0,0,0,6,0
AU,89,30,173,0.24277456647398843,0.30057803468208094,44,0,8,0,0,0,0,3,0
AU,90,2,468,0.1346153846153846,0.41452991452991456,166,0,28,0,0,0,0,2,0
AU,91,1,184,0.23369565217391305,0.32065217391304346,57,0,2,0,0,0,0,0,0
AU,92,85,181,0.2596685082872928,0.3756906077348066,65,0,3,0,0,0,0,0,0
AU,98,38,6,0.16666666666666666,0.5,0,3,0,0,0,0,1,0,0
AU,99,38,10,0.4,0.1,1,0,0,0,0,0,0,0,0
AU,100,38,6,0.5,0.16666666666666666,1,0,0,0,0,0,0,0,0
AU,101,38,5,0.8,0.0,0,0,0,0,0,0,0,0,0
AU,102,38,7,0.42857142857142855,0.5714285714285714,4,0,0,0,0,0,0,0,0
AU,109,5,4,0.25,0.0,0,0,0,0,0,0,0,0,0
AU,110,5,5,0.0,0.0,0,0,0,0,0,0,0,0,0
AU,112,5,6,0.0,0.0,0,0,0,0,0,0,0,0,0
AU,218,0,3,0.0,0.3333333333333333,0,1,0,0,0,0,0,0,0
AU,219,1,5,0.2,0.2,0,1,0,0,0,0,0,0,0
