Country,MID,Weights,Initial Attempts,Initials SR%,Initials Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
AU,22.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AU,24.0,40.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AU,25.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AU,26.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,52.0,2.0,59.0,0.4915254237288136,0.15254237288135594,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
AU,53.0,1.0,51.0,0.47058823529411764,0.23529411764705882,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
AU,54.0,1.0,62.0,0.3548387096774194,0.3387096774193548,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
AU,55.0,1.0,24.0,0.3333333333333333,0.4166666666666667,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
AU,56.0,2.0,24.0,0.2916666666666667,0.2916666666666667,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
AU,62.0,1.0,31.0,0.3548387096774194,0.41935483870967744,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AU,63.0,10.0,45.0,0.4444444444444444,0.2222222222222222,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
AU,64.0,30.0,16.0,0.8125,0.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,65.0,2.0,58.0,0.5344827586206896,0.2413793103448276,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
